Symbol,Name,NumAppearances
NVDA,NVIDIA Corporation - Common Stock,4
AMZN,"Amazon.com, Inc. - Common Stock",3
FB,"Facebook, Inc. - Class A Common Stock",3
TSLA,"Tesla, Inc.  - Common Stock",3
GOOGL,Alphabet Inc. - Class A Common Stock,3
AAPL,Apple Inc. - Common Stock,2
MSFT,Microsoft Corporation - Common Stock,2
GOOG,Alphabet Inc. - Class C Capital Stock,2
ASML,ASML Holding N.V. - New York Registry Shares,2
QCOM,QUALCOMM Incorporated - Common Stock,2
AMD,"Advanced Micro Devices, Inc. - Common Stock",2
INTC,Intel Corporation - Common Stock,2
TXN,Texas Instruments Incorporated - Common Stock,2
AVGO,Broadcom Inc. - Common Stock,2
BRK.B,Berkshire Hathaway Inc. New Common Stock,1
JPM,JP Morgan Chase & Co. Common Stock,1
HD,"Home Depot, Inc. (The) Common Stock",1
NKE,"Nike, Inc. Common Stock",1
MCD,McDonald's Corporation Common Stock,1
LOW,"Lowe's Companies, Inc. Common Stock",1
SBUX,Starbucks Corporation - Common Stock,1
TGT,Target Corporation Common Stock,1
BKNG,Booking Holdings Inc. - Common Stock,1
TJX,"TJX Companies, Inc. (The) Common Stock",1
TSM.TW,Taiwan Semiconductor Manufacturing Co Ltd ADR,1
MU,"Micron Technology, Inc. - Common Stock",1
AMAT,"Applied Materials, Inc. - Common Stock",1
MRVL,"Marvell Technology, Inc. - Common Stock",1
KLAC,KLA Corporation  - Common Stock,1
ADI,"Analog Devices, Inc. - Common Stock",1
